Country,Distancing policy ,Date Implemented,Date Ended,Source,
Algeria,Air and sea travel suspended with all European countries,19 March,,https://www.tsa-algerie.com/alerte-lalgerie-suspend-ses-liaisons-aeriennes-et-maritimes-avec-leurope/,
Algeria, "Political, sports, economic and cultural gatherings",	10 March, ,https://www.garda.com/crisis24/news-alerts/321536/algeria-government-restricts-public-gatherings-nationwide-march-10-update-2,																						
Algeria, Closure of land borders,	17 March,	,	https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,																						
Algeria,	Full lockdown,	23 March, ,	https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,																						
Algeria,	Curfew 7pm to 7am,	23 March,	,	https://www.garda.com/crisis24/news-alerts/325896/algeria-government-implements-lockdown-and-curfew-in-blida-and-algiers-march-23-update-7,																						
Angola,15 days border closure,20 March,4 April,https://www.norway.no/en/angola/norway-angola/news-and-events/angola-strengthens-security-measures-due-to-coronavirus--covid-19/,
Angola,Suspension of flights,20 March,4 April,https://www.norway.no/en/angola/norway-angola/news-and-events/angola-strengthens-security-measures-due-to-coronavirus--covid-19/,
Angola,Closure of schools,24 March,,https://www.upstreamonline.com/safety/sonangol-official-one-of-two-covid-19-cases-in-angola-report/2-1-779461,
Benin,Suspension of international flights,,,https://www.aci-africa.aero/files/Status-COVID19-in-Africa-02-04-20.pdf,
Benin,Entry visas restricted,19 March,,https://www.gov.uk/foreign-travel-advice/benin/coronavirus,
Benin,Border with Togo closed,7 April,,https://www.gov.uk/foreign-travel-advice/benin/coronavirus,
Botswana,Closure of borders,24 March,,https://www.voanews.com/science-health/coronavirus-outbreak/botswana-no-covid-19-cases-closes-borders-after-death-zimbabwe,
Botswana,Mandatory 14 days quarantine,24 March,,https://www.voanews.com/science-health/coronavirus-outbreak/botswana-no-covid-19-cases-closes-borders-after-death-zimbabwe,
Botswana,Suspension of all flights,16 March,,http://www.mmegi.bw/index.php?aid=84896&dir=2020/march/16,
Botswana,Suspension of all social gatherings of more than 100 people,16 March,15 April,http://www.mmegi.bw/index.php?aid=84896&dir=2020/march/16,
Botswana,Suspension of all public transport,16 March,,http://www.dailynews.gov.bw/news-details.php?nid=55255,
Botswana,State of public emergency,2 April,2 October,https://drive.google.com/file/d/1SMuG_sIy5Aw8sb5W6t3kOxOzV1mGH1lE/view,
Burkina Faso,"Closure of airports, land borders",21 March,5 April,https://www.bloomberg.com/news/articles/2020-03-21/burkina-faso-mines-minister-tests-positive-for-coronavirus,
Burkina Faso,Nationwide curfew,20 March,,https://www.bloomberg.com/news/articles/2020-03-21/burkina-faso-mines-minister-tests-positive-for-coronavirus,
Burundi,14 day quarantine for travellers coming from selected countries,17 March,,http://www.china.org.cn/world/Off_the_Wire/2020-03/17/content_75824457.htm,
Burundi,Lockdown,1 April,29 April,https://www.africanews.com/2020/04/04/coronavirus-hub-impact-of-outbreak-across-africa/,
Cameroon,"Closure of land, air and sea borders",18 March,,https://information.tv5monde.com/video/coronavirus-le-cameroun-ferme-ses-frontieres,
Cameroon,Social distancing preventive measures implemented,13 April,,https://twitter.com/CRTV_web/status/1248370100622757888,
